Map	Layer	Gamemode	Minimap	Capture Points	Time Limit	BLUFOR	BLUFOR Tickets	BLUFOR Spawn (Map)	BLUFOR Spawn (Aerial)	BLUFOR Secondary Spawn (Map)	BLUFOR Secondary Spawn (Aerial))	BLUFOR Vehicles	OPFOR	OPFOR Tickets	OPFOR Spawn (Map)	OPFOR Spawn (Aerial)	OPFOR Secondary Spawn (Map)	OPFOR Secondary Spawn (Aerial)	OPFOR Vehicles
Belaya	INV v2	Invasion																	
Belaya	PAAS v1	PAAS																	
Chora	AAS v1	AAS																	
Chora	AAS v1 INF Night	AAS/INF																	
Chora	AAS v2	AAS																	
Chora	Conquest v1	Conquest																	
Chora	INS v1	Insurgency																	
Chora	INV v1 Night	Invasion																	
Chora	PAAS v1	PAAS																	
Fool's Road	AAS v1	AAS																	
Fool's Road	AAS v1 INF	AAS/INF																	
Fool's Road	AAS v2	AAS																	
Fool's Road	AAS v3	AAS																	
Fool's Road	AAS v4	AAS																	
Fool's Road	Conquest v1	Conquest																	
Fool's Road	Skirmish	Skirmish	https://i.imgur.com/OncHJa1.jpg	OP Fortress, Train Station, Mine Entrance		US	150	https://i.imgur.com/EDDTNoo.jpg	https://i.imgur.com/A4iN8Af.jpg			Main: 1x M939 Logistics, 1x OT MRAP	RU	150	https://i.imgur.com/u6EYK29.jpg	https://i.imgur.com/zuw91et.jpg			Main: 1x URAL 4320 Logistics, 1x MTLB-NSVT
Gorodok	AAS v1	AAS																	
Gorodok	AAS v1 INF	AAS/INF																	
Gorodok	AAS v2	AAS																	
Gorodok	AAS v3	AAS																	
Gorodok	AAS v4	AAS																	
Gorodok	INV v1	Invasion																	
Gorodok	INV v2	Invasion																	
Gorodok	INS v1	Insurgency																	
Kamdesh	AAS v1	AAS																	
Kamdesh	AAS v1 INF	AAS/INF																	
Kamdesh	INS v1	Insurgency																	
Kamdesh	INS v2	Insurgency																	
Kamdesh	INV v1	Invasion																	
Kamdesh	INV v2	Invasion																	
Kamdesh	INV v3	Invasion																	
Kamdesh	PAAS v1	PAAS																	
Kohat	AAS v1	AAS																	
Kohat	AAS v1 INF	AAS/INF																	
Kohat	AAS v2	AAS																	
Kohat	INS v1	Insurgency																	
Kohat	INV v1	Invasion																	
Kokan	AAS v1	AAS																	
Kokan	AAS v2	AAS																	
Kokan	INS v1	Insurgency																	
Kokan	PAAS v1	PAAS																	
Logar	PAAS v1	PAAS																	
Logar	AAS v1	AAS																	
Logar	AAS v1 INF	AAS/INF																	
Logar	INS v1	Insurgency																	
Logar	INS v1 Night	Insurgency																	
Mestia	AAS v1	AAS																	
Mestia	AAS v2	AAS																	
Mestia	INV v1	Invasion																	
Mestia	INV v2	Invasion																	
Mestia	PAAS v1	PAAS																	
Narva	AAS v1	AAS																	
Narva	AAS v2	AAS																	
Narva	AAS v3	AAS																	
Narva	INV v1	Invasion																	
Narva	INV v2	Invasion																	
Narva	PAAS v1	PAAS																	
Narva	PAAS v2	PAAS																	
Narva	INS v1	Insurgency																	
Sumari	AAS v1	AAS																	
Sumari	AAS v1 INF	AAS/INF																	
Sumari	AAS v2	AAS																	
Sumari	AAS v3	AAS																	
Sumari	INS v1	Insurgency																	
Sumari	ITC v1	ITC	https://i.imgur.com/SJbOBw8.png	Sector 1, Sector 2, Sector 3, Sector 4, Sector 5	1h 30m	MIL	400	https://i.imgur.com/q18QIrB.jpg	https://i.imgur.com/kQc9jnY.jpg	https://i.imgur.com/OrTtSQ1.jpg	https://i.imgur.com/y9yR4nN.jpg	Main: 1x DShK, 1x DShK-S, 1x SPG, 1x URAL 375D Logistics	INS	9999	https://i.imgur.com/FrvDOXp.jpg	https://i.imgur.com/JMrNQVz.jpg			Main: 1x DShK, 1x SPG, 1x Techie Logistics. Sector 2: 1x DShK-S. Police Station: 1x DShK-S
Yehorivka	AAS v1	AAS																	
Yehorivka	AAS v1 INF	AAS/INF																	
Yehorivka	AAS v2	AAS																	
Yehorivka	AAS v3	AAS																	
Yehorivka	INV v1	Invasion																	
Yehorivka	INV v2	Invasion																	
Yehorivka	INS v1	Insurgency																	
